date,open,high,low,close,volume
2024-06-07,320.51,329.73,316.26,317.96,2704468.0
2024-06-10,318.51,322.04,314.01,317.91,1405834.0
2024-06-11,316.0,319.7,314.76,317.8,1123614.0
2024-06-12,318.0,323.5,307.88,309.5,1765881.0
2024-06-13,309.02,310.59,303.87,307.03,1349886.0
2024-06-14,305.5,308.0,303.16,305.63,949283.0
2024-06-17,305.64,313.22,303.75,312.62,1281407.0
2024-06-18,312.86,315.5,311.52,313.23,1175132.0
2024-06-20,314.5,314.66,310.22,310.99,1081513.0
2024-06-21,310.77,313.45,309.1,311.0,2355134.0
2024-06-24,312.0,316.53,311.62,312.76,1253165.0
2024-06-25,314.0,317.21,307.69,309.24,1382872.0
2024-06-26,310.0,310.0,304.25,304.6,797655.0
2024-06-27,305.5,309.18,303.0,304.0,939969.0
2024-06-28,303.08,304.0,296.21,298.7,2317683.0
2024-07-01,299.56,302.58,295.49,301.5,957935.0
2024-07-02,300.7,304.39,299.68,301.0,937068.0
2024-07-03,301.73,302.59,299.02,300.07,515326.0
2024-07-05,301.0,303.39,296.8,298.14,736328.0
2024-07-08,300.0,302.05,293.51,294.79,1015043.0
2024-07-09,295.75,296.0,288.11,290.0,1257603.0
2024-07-10,289.13,290.21,283.49,288.34,1436834.0
2024-07-11,287.24,295.5,287.23,289.32,1174762.0
2024-07-12,290.45,296.38,287.78,291.06,1112080.0
2024-07-15,292.0,292.0,282.58,283.53,1326148.0
2024-07-16,284.44,292.2,282.03,291.78,1175944.0
2024-07-17,290.3,293.94,288.51,292.87,999524.0
2024-07-18,292.39,295.35,284.69,286.1,1117101.0
2024-07-19,286.01,287.44,279.16,280.9,977542.0
2024-07-22,281.79,286.43,280.85,285.49,970020.0
2024-07-23,286.29,287.52,281.03,281.08,768797.0
2024-07-24,281.01,281.44,268.78,272.48,1644229.0
2024-07-25,271.74,271.74,245.59,248.29,6567201.0
2024-07-26,249.01,257.26,246.99,252.03,2843449.0
2024-07-29,254.9,260.46,251.95,258.5,1443586.0
2024-07-30,259.17,259.39,253.7,256.0,922312.0
2024-07-31,257.85,262.5,256.0,259.09,1397581.0
2024-08-01,259.79,260.12,246.12,248.0,1369582.0
2024-08-02,244.75,244.75,234.69,236.0,1969334.0
2024-08-05,229.9,236.35,222.0,234.51,1978128.0
2024-08-06,235.73,240.36,234.0,235.25,1292426.0
2024-08-07,237.65,244.65,232.5,232.86,973684.0
2024-08-08,233.43,243.15,233.43,242.44,1168520.0
2024-08-09,242.44,242.44,237.28,238.72,793683.0
2024-08-12,239.93,240.82,236.55,240.0,950760.0
2024-08-13,239.0,245.73,237.0,242.8,1174445.0
2024-08-14,241.95,244.5,240.36,241.5,754866.0
2024-08-15,242.0,259.0,242.0,259.0,2188471.0
2024-08-16,258.4,259.9,254.01,258.6,1184536.0
2024-08-19,259.11,263.0,258.42,261.72,1345255.0
2024-08-20,260.37,261.32,257.31,260.01,916409.0
2024-08-21,261.85,270.55,261.85,266.66,1230257.0
2024-08-22,266.75,267.3,262.5,264.99,988038.0
2024-08-23,265.5,269.2,264.64,269.2,1093935.0
2024-08-26,270.01,275.04,269.26,272.23,1622961.0
2024-08-27,272.0,272.83,268.25,271.0,1209798.0
2024-08-28,270.89,271.02,255.29,257.49,1917008.0
2024-08-29,257.5,277.85,235.02,270.0,3134450.0
2024-08-30,269.0,272.0,249.1,259.6,5171049.0
2024-09-03,258.81,261.77,251.75,257.89,1917987.0
2024-09-04,256.51,257.49,251.76,255.66,1533142.0
2024-09-05,252.81,257.77,252.5,257.0,1141438.0
