Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
TMUS,T MOBILE US INC,Communication,Equity,"30,594,014.36",0.20,"30,594,014.36","125,447.00",243.88,United States,NASDAQ,USD,1.00,--
COP,CONOCOPHILLIPS,Energy,Equity,"30,209,040.76",0.20,"30,209,040.76","343,636.00",87.91,United States,New York Stock Exchange Inc.,USD,1.00,--
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"30,021,622.50",0.20,"30,021,622.50","293,610.00",102.25,United States,NASDAQ,USD,1.00,--
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"29,851,017.00",0.20,"29,851,017.00","61,075.00",488.76,United States,NASDAQ,USD,1.00,--
MDT,MEDTRONIC PLC,Health Care,Equity,"29,197,282.66",0.19,"29,197,282.66","341,329.00",85.54,United States,New York Stock Exchange Inc.,USD,1.00,--
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"28,813,557.12",0.19,"28,813,557.12","314,284.00",91.68,United States,New York Stock Exchange Inc.,USD,1.00,--
ADI,ANALOG DEVICES INC,Information Technology,Equity,"28,802,179.80",0.19,"28,802,179.80","131,860.00",218.43,United States,NASDAQ,USD,1.00,--
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"28,547,469.12",0.19,"28,547,469.12","341,232.00",83.66,United States,NASDAQ,USD,1.00,--
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"27,831,539.89",0.18,"27,831,539.89","69,839.00",398.51,United States,NASDAQ,USD,1.00,--
KLAC,KLA CORP,Information Technology,Equity,"27,332,633.28",0.18,"27,332,633.28","35,232.00",775.79,United States,NASDAQ,USD,1.00,--
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"27,177,426.97",0.18,"27,177,426.97","450,181.00",60.37,United States,New York Stock Exchange Inc.,USD,1.00,--
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"27,170,368.68",0.18,"27,170,368.68","151,502.00",179.34,United States,New York Stock Exchange Inc.,USD,1.00,--
CME,CME GROUP INC CLASS A,Financials,Equity,"26,971,050.47",0.18,"26,971,050.47","95,537.00",282.31,United States,NASDAQ,USD,1.00,--
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"26,885,678.64",0.18,"26,885,678.64","55,992.00",480.17,United States,New York Stock Exchange Inc.,USD,1.00,--
PLD,PROLOGIS REIT INC,Real Estate,Equity,"26,822,953.74",0.18,"26,822,953.74","246,037.00",109.02,United States,New York Stock Exchange Inc.,USD,1.00,--
BX,BLACKSTONE INC,Financials,Equity,"26,624,307.28",0.17,"26,624,307.28","191,528.00",139.01,United States,New York Stock Exchange Inc.,USD,1.00,--
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"26,437,527.27",0.17,"26,437,527.27","123,893.00",213.39,United States,New York Stock Exchange Inc.,USD,1.00,--
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"26,247,565.50",0.17,"26,247,565.50","83,850.00",313.03,United States,NASDAQ,USD,1.00,--
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity,"26,187,164.61",0.17,"26,187,164.61","39,023.00",671.07,Sweden,New York Stock Exchange Inc.,USD,1.00,--
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"26,134,754.20",0.17,"26,134,754.20","301,787.00",86.60,United States,NASDAQ,USD,1.00,--
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"26,099,585.25",0.17,"26,099,585.25","60,311.00",432.75,United States,New York Stock Exchange Inc.,USD,1.00,--
SO,SOUTHERN,Utilities,Equity,"26,034,943.59",0.17,"26,034,943.59","290,601.00",89.59,United States,New York Stock Exchange Inc.,USD,1.00,--
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"25,983,555.99",0.17,"25,983,555.99","540,311.00",48.09,United States,New York Stock Exchange Inc.,USD,1.00,--
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"25,835,922.00",0.17,"25,835,922.00","273,396.00",94.50,United States,New York Stock Exchange Inc.,USD,1.00,--
WM,WASTE MANAGEMENT INC,Industrials,Equity,"25,645,806.87",0.17,"25,645,806.87","106,773.00",240.19,United States,New York Stock Exchange Inc.,USD,1.00,--
WELL,WELLTOWER INC,Real Estate,Equity,"24,895,506.20",0.16,"24,895,506.20","163,571.00",152.20,United States,New York Stock Exchange Inc.,USD,1.00,--
FI,FISERV INC,Financials,Equity,"24,378,912.35",0.16,"24,378,912.35","150,385.00",162.11,United States,New York Stock Exchange Inc.,USD,1.00,--
MCK,MCKESSON CORP,Health Care,Equity,"24,050,707.84",0.16,"24,050,707.84","33,643.00",714.88,United States,New York Stock Exchange Inc.,USD,1.00,--
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"23,927,581.60",0.16,"23,927,581.60","356,915.00",67.04,United States,NASDAQ,USD,1.00,--
DUK,DUKE ENERGY CORP,Utilities,Equity,"23,882,841.27",0.16,"23,882,841.27","204,599.00",116.73,United States,New York Stock Exchange Inc.,USD,1.00,--
MSTR,MICROSTRATEGY INC CLASS A,Information Technology,Equity,"23,718,852.03",0.16,"23,718,852.03","61,221.00",387.43,United States,NASDAQ,USD,1.00,--
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"23,328,019.68",0.15,"23,328,019.68","61,558.00",378.96,United States,New York Stock Exchange Inc.,USD,1.00,--
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"23,308,340.40",0.15,"23,308,340.40","1,148,760.00",20.29,United States,NASDAQ,USD,1.00,--
EQIX,EQUINIX REIT INC,Real Estate,Equity,"22,904,324.64",0.15,"22,904,324.64","25,596.00",894.84,United States,NASDAQ,USD,1.00,--
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"22,577,539.86",0.15,"22,577,539.86","33,966.00",664.71,United States,New York Stock Exchange Inc.,USD,1.00,--
AJG,ARTHUR J GALLAGHER,Financials,Equity,"22,524,455.25",0.15,"22,524,455.25","65,241.00",345.25,United States,New York Stock Exchange Inc.,USD,1.00,--
